Photo,Score
1078089.jpg,881.20674601067
1078090.jpg,915.0239838046415
1108099.jpg,894.1376153544702
1124002.jpg,915.714160924033
1189673.jpg,896.0128315281456
1198802.jpg,896.0128315281456
1242419.jpg,896.714160924033
1254140.jpg,959.0842177683884
128817.jpg,909.0842177683884
1289557.jpg,911.0239838046416
1294062.jpg,913.1376153544702
1307630.jpg,954.6941652860172
1322182.jpg,914.6941652860172
1346086.jpg,914.7162370717356
1390361.jpg,917.7705266994692
1390784.jpg,921.0904557896216
1404727.jpg,921.0904557896216
1420405.jpg,921.7705266994692
1448055.jpg,923.6395873260002
1458908.jpg,923.6395873260002
1458916.jpg,924.7162370717356
1458925.jpg,891.20674601067
1490908.jpg,981.365096078404
1557178.jpg,911.365096078404
1562983.jpg,952.2102697503132
1573919.jpg,902.2102697503132
1591939.jpg,943.4741252015716
159692.jpg,923.4741252015716
160846.jpg,934.2085783426654
1619690.jpg,934.2085783426654
164186.jpg,934.5019240406637
164446.jpg,924.5019240406637
1684504.jpg,916.5718848540204
169524.jpg,936.5718848540204
1714454.jpg,936.6240702467924
1805164.jpg,936.6240702467924
1839753.jpg,940.2264491800202
1851164.jpg,940.2264491800202
1870301.jpg,951.6794857786612
1906153.jpg,941.6794857786612
1938126.jpg,952.5051558377952
1954515.jpg,942.5051558377952
2197906.jpg,952.6626917212832
220938.jpg,952.7738599669972
220974.jpg,942.7738599669972
2248516.jpg,943.844950113279
2252311.jpg,943.248206811049
2253275.jpg,943.5011087737582
230785.jpg,941.6626917212832
236622.jpg,943.7112406299816
245035.jpg,943.7538793137328
247522.jpg,943.7538793137328
247937.jpg,943.7799084818902
2623968.jpg,943.844950113279
2664417.jpg,944.253707199038
2797318.jpg,971.1012248528764
2906033.jpg,961.678485638198
319975.jpg,974.3973191484828
333083.jpg,964.4504669698508
3361722.jpg,964.833856842508
3361739.jpg,964.9280699137212
3631659.jpg,967.3487800994374
3658120.jpg,957.5913509083229
3687770.jpg,968.3742528647298
3714060.jpg,969.5336018050826
3726314.jpg,1001.1480122844368
37401.jpg,1001.0007948023894
37860.jpg,1023.1683423717734
406014.jpg,1000.0
422220.jpg,1000.6471999915344
46505.jpg,1016.335929724926
4681107.jpg,1000.0
540524.jpg,982.6226779702602
544269.jpg,973.6054553735012
551628.jpg,967.5913509083229
58997.jpg,975.6141597436102
59523.jpg,984.438739461406
612813.jpg,1000.4510144595534
662417.jpg,985.4170473395012
686094.jpg,986.2760971790864
68798.jpg,974.1860207245394
731022.jpg,1000.0
